55,Optics Department,+380555678901,optics@kpi.ua,http://optics.edu.kpi.ua,19
56,Materials Science Department,+380556789012,materials@kpi.ua,http://materials.edu.kpi.ua,19
57,Nanotechnology Department,+380557890123,nano@kpi.ua,http://nano.edu.kpi.ua,19
58,Humanities Department,+380558901234,humanities@kpi.ua,http://humanities.edu.kpi.ua,20
59,Classics Department,+380559012345,classics@kpi.ua,http://classics.edu.kpi.ua,20
60,World Languages Department,+380560123456,lang@kpi.ua,http://lang.edu.kpi.ua,20
61,Philology Department,+380561234567,philology@kpi.ua,http://philology.edu.kpi.ua,21
62,Comparative Literature Department,+380562345678,comp_lit@kpi.ua,http://comp_lit.edu.kpi.ua,21
63,Translation Studies Department,+380563456789,translate@kpi.ua,http://translate.edu.kpi.ua,21
64,Computer Engineering Department,+380564567890,compeng@kpi.ua,http://compeng.edu.kpi.ua,22
65,Software Engineering Department,+380565678901,softeng@kpi.ua,http://softeng.edu.kpi.ua,22
66,Network Engineering Department,+380566789012,neteng@kpi.ua,http://neteng.edu.kpi.ua,22
67,Public Health Department,+380567890123,publichealth@kpi.ua,http://publichealth.edu.kpi.ua,23
68,Nutrition Department,+380568901234,nutrition@kpi.ua,http://nutrition.edu.kpi.ua,23
69,Exercise Science Department,+380569012345,exerscience@kpi.ua,http://exerscience.edu.kpi.ua,23
70,Agricultural Science Department,+380570123456,agriculture@kpi.ua,http://agriculture.edu.kpi.ua,24
71,Animal Science Department,+380571234567,animalscience@kpi.ua,http://animalscience.edu.kpi.ua,24
72,Plant Science Department,+380572345678,plantscience@kpi.ua,http://plantscience.edu.kpi.ua,24
73,Fine Arts Department,+380573456789,finearts@kpi.ua,http://finearts.edu.kpi.ua,25
74,Drama Department,+380574567890,drama@kpi.ua,http://drama.edu.kpi.ua,25
75,Dance Department,+380575678901,dance@kpi.ua,http://dance.edu.kpi.ua,25
76,Architecture and Planning Department,+380576789012,archplan@kpi.ua,http://archplan.edu.kpi.ua,26
77,Geography and Urban Planning Department,+380577890123,geourban@kpi.ua,http://geourban.edu.kpi.ua,26
78,Environmental Planning Department,+380578901234,envplan@kpi.ua,http://envplan.edu.kpi.ua,26
79,Library Science Department,+380579012345,library@kpi.ua,http://library.edu.kpi.ua,27
80,Information Science Department,+380580123456,infosci@kpi.ua,http://infosci.edu.kpi.ua,27
81,Media Studies Department,+380581234567,media@kpi.ua,http://media.edu.kpi.ua,27
82,Education Department,+380582345678,education@kpi.ua,http://education.edu.kpi.ua,28
83,Special Education Department,+380583456789,specialed@kpi.ua,http://specialed.edu.kpi.ua,28
84,Early Childhood Education Department,+380584567890,earlychild@kpi.ua,http://earlychild.edu.kpi.ua,28
85,Physical Education Department,+380585678901,physed@kpi.ua,http://physed.edu.kpi.ua,29
86,Recreation Department,+380586789012,recreation@kpi.ua,http://recreation.edu.kpi.ua,29
87,Sports Management Department,+380587890123,sportsmgmt@kpi.ua,http://sportsmgmt.edu.kpi.ua,29
88,Religious Studies and Theology Department,+380588901234,religstheo@kpi.ua,http://religstheo.edu.kpi.ua,30
89,Missions and Evangelism Department,+380589012345,missions@kpi.ua,http://missions.edu.kpi.ua,30
90,Christian Counseling Department,+380590123456,chriscounsel@kpi.ua,http://chriscounsel.edu.kpi.ua,30
91,Health Sciences Department,+380591234567,healthsci@kpi.ua,http://healthsci.edu.kpi.ua,31
92,Medical Technology Department,+380592345678,medtech@kpi.ua,http://medtech.edu.kpi.ua,31
93,Radiologic Technology Department,+380593456789,radiotech@kpi.ua,http://radiotech.edu.kpi.ua,31
94,Political Affairs Department,+380594567890,politicsintrel@kpi.ua,http://politicsintrel.edu.kpi.ua,32
95,Global Studies Department,+380595678901,globalstudies@kpi.ua,http://globalstudies.edu.kpi.ua,32
96,Diplomacy and Foreign Affairs Department,+380596789012,diplomacy@kpi.ua,http://diplomacy.edu.kpi.ua,32
97,Culinary Arts Department,+380597890123,culinary@kpi.ua,http://culinary.edu.kpi.ua,16
98,Hospitality Management Department,+380598901234,hospitality@kpi.ua,http://hospitality.edu.kpi.ua,17
99,Tourism Management Department,+380599012345,tourism@kpi.ua,http://tourism.edu.kpi.ua,18
100,Liberal Arts Department,+380600123456,liberalarts@kpi.ua,http://liberalarts.edu.kpi.ua,25
